(41996,one-off)
(10927,yearly,6 year (s))
(37246,one-off)
(51285,monthly,4 year (s))
(35582,yearly,6 year (s))
(29196,yearly,43 year (s))
(10369,yearly,18 year (s))
(57098,one-off)
(5891,yearly,24 year (s))
(16586,monthly,1 year (s))
(48385,daily,1 month (s))
(30091,monthly,2 year (s))
(30038,yearly,39 year (s))
(35327,yearly,7 year (s))
(56318,monthly,2 year (s))
(58265,one-off)
(30405,one-off)
(40026,one-off)
(33700,one-off)
(51196,monthly,1 year (s))
(50131,yearly,4 year (s))
(4752,yearly,37 year (s))
(53402,one-off)
(17602,one-off)
(54845,yearly,12 year (s))
(55325,yearly,13 year (s))
(33718,daily,1 month (s))
(18123,monthly,4 year (s))
(10840,yearly,10 year (s))
(34038,monthly,1 year (s))
(37887,one-off)
(17666,daily,18day (s))
(6320,yearly,14 year (s))
(9471,yearly,11 year (s))
(25797,one-off)
(31261,one-off)
(17426,one-off)
(44004,monthly,3 year (s))
(42241,yearly,8 year (s))
(57302,monthly,4 year (s))
(41261,monthly,2 year (s))
(21124,daily,14day (s))
(3178,one-off)
(55010,monthly,4 year (s))
(37847,monthly,4 year (s))
(50500,yearly,21 year (s))
(57004,yearly,3 year (s))
(18586,yearly,26 year (s))
(50026,daily,1 month (s))
(17570,one-off)
(40232,yearly,5 year (s))
(34808,yearly,22 year (s))
(4992,daily,1 month (s))
(47926,daily,1 month (s))
(13642,monthly,1 year (s))
(58055,yearly,24 year (s))
(52396,monthly,4 year (s))
(44407,monthly,4 year (s))
(9360,daily,13day (s))
(16054,yearly,6 year (s))
(19086,yearly,8 year (s))
(56738,monthly,7 year (s))
(30338,yearly,18 year (s))
(29367,monthly,6 year (s))
(15312,yearly,18 year (s))
(23109,monthly,1 year (s))
(8609,yearly,13 year (s))
(52268,monthly,1 year (s))
(15225,yearly,25 year (s))
(43897,yearly,19 year (s))
(35326,one-off)
(48061,yearly,10 year (s))
(13769,yearly,4 year (s))
(32264,yearly,1 year (s))
(35695,monthly,3 year (s))
(36783,one-off)
(19504,daily,0 month (s))
(19612,monthly,5 year (s))
(36356,yearly,27 year (s))
(39122,one-off)
(30850,daily,10day (s))
(6983,one-off)
(7404,one-off)
(33987,monthly,9 month (s))
(17418,one-off)
(38342,daily,23day (s))
(26683,yearly,31 year (s))
(31151,daily,4day (s))
(24807,monthly,1 year (s))
(42976,one-off)
(10402,yearly,3 year (s))
(44081,yearly,3 year (s))
(34208,monthly,2 year (s))
(12369,one-off)
(44392,daily,0 month (s))
(33660,monthly,2 year (s))
(28380,one-off)
(24350,yearly,4 year (s))
(43263,daily,15day (s))
(16762,daily,19day (s))
(44106,yearly,37 year (s))
(45132,daily,1 month (s))
(38054,one-off)
(5743,one-off)
(5156,daily,15day (s))
(43568,one-off)
(26776,yearly,4 year (s))
(23536,daily,1 month (s))
(32916,yearly,13 year (s))
(37082,monthly,4 month (s))
(39396,monthly,2 year (s))
(33638,yearly,23 year (s))
(45477,yearly,14 year (s))
(35303,yearly,3 year (s))
(45625,yearly,3 year (s))
(32899,yearly,19 year (s))
(46601,yearly,3 year (s))
(43801,daily,1 month (s))
(32923,one-off)
(6015,one-off)
(38747,one-off)
(30187,one-off)
(14981,one-off)
(46064,one-off)
(24996,yearly,8 year (s))
(7726,yearly,3 year (s))
(6664,one-off)
(57940,monthly,5 year (s))
(48644,yearly,21 year (s))
(3159,yearly,7 year (s))
(30833,monthly,4 year (s))
(20505,monthly,7 year (s))
(51665,yearly,18 year (s))
(51705,yearly,4 year (s))
(35510,yearly,8 year (s))
(31672,yearly,18 year (s))
(55826,monthly,3 year (s))
(44087,yearly,1 year (s))
(55108,monthly,3 year (s))
(10491,one-off)
(49419,monthly,6 year (s))
(8454,yearly,2 year (s))
(57504,yearly,7 year (s))
(45178,daily,1 month (s))
(34530,monthly,6 year (s))
(46785,daily,16day (s))
(54590,daily,1 month (s))
(12696,monthly,4 year (s))
(45905,yearly,4 year (s))
(24578,yearly,20 year (s))
(22717,monthly,7 month (s))
(34759,monthly,6 year (s))
(7007,one-off)
(29513,yearly,29 year (s))
(56063,yearly,17 year (s))
(36837,daily,1 month (s))
(16269,monthly,2 year (s))
(16346,daily,1 month (s))
(21988,monthly,3 year (s))
(15737,yearly,16 year (s))
(50283,monthly,1 year (s))
(50897,monthly,4 month (s))
(12469,yearly,23 year (s))
(32903,monthly,6 year (s))
(52791,monthly,5 year (s))
(25327,daily,1 month (s))
(16641,daily,26day (s))
(13207,monthly,5 year (s))
(49593,daily,1 month (s))
(10560,yearly,27 year (s))
(5397,yearly,33 year (s))
(58174,one-off)
(11640,yearly,20 year (s))
(35221,yearly,28 year (s))
(22905,daily,1 month (s))
(50742,one-off)
(39546,daily,0 month (s))
(50505,yearly,9 year (s))
(4126,daily,1 month (s))
(35685,monthly,7 year (s))
(49081,monthly,2 year (s))
(11632,daily,24day (s))
(25058,monthly,5 year (s))
(41304,yearly,38 year (s))
(45285,daily,1 month (s))
(3296,yearly,14 year (s))
(55300,daily,1 month (s))
(29689,monthly,1 year (s))
(54313,one-off)
(25736,yearly,6 year (s))
(19033,monthly,6 year (s))
(33028,monthly,3 year (s))
(26859,yearly,16 year (s))
(36945,daily,1 month (s))
(48124,daily,22day (s))
(16201,monthly,7 year (s))
(14046,monthly,1 year (s))
(36738,yearly,23 year (s))
(25760,monthly,4 year (s))
(29404,monthly,4 year (s))
(32230,daily,26day (s))
(4575,yearly,1 year (s))
(19505,yearly,39 year (s))
(38515,one-off)
(55196,yearly,28 year (s))
(19524,yearly,30 year (s))
(19071,yearly,19 year (s))
(33218,monthly,3 year (s))
(25964,yearly,14 year (s))
(38214,yearly,26 year (s))
(5136,yearly,27 year (s))
(45156,yearly,11 year (s))
(17057,monthly,1 year (s))
(24817,monthly,1 year (s))
(26709,daily,24day (s))
(24935,one-off)
(7924,monthly,4 year (s))
(14131,yearly,35 year (s))
(28575,yearly,4 year (s))
(22713,yearly,5 year (s))
(8308,yearly,21 year (s))
(16720,yearly,13 year (s))
(42893,daily,1 month (s))
(46758,yearly,29 year (s))
(29009,yearly,24 year (s))
(22941,daily,26day (s))
(22513,monthly,1 year (s))
(38224,monthly,7 year (s))
(35383,yearly,23 year (s))
(34190,yearly,4 year (s))
(24902,yearly,4 year (s))
(36152,yearly,1 year (s))
(4501,monthly,4 year (s))
(15894,one-off)
(6411,yearly,5 year (s))
(49356,monthly,6 year (s))
(40464,monthly,7 year (s))
(47315,yearly,4 year (s))
(20860,daily,13day (s))
(38555,monthly,6 year (s))
(34537,monthly,3 year (s))
(14057,daily,1 month (s))
(7152,yearly,4 year (s))
(5948,daily,0 month (s))
(22246,yearly,38 year (s))
(25065,yearly,20 year (s))
(29515,one-off)
(18010,one-off)
(27237,daily,1 month (s))
(11993,monthly,5 year (s))
(9846,daily,20day (s))
(23046,one-off)
(6878,yearly,12 year (s))
(19989,one-off)
(4820,daily,8day (s))
(21837,one-off)
(31320,one-off)
(18949,daily,0 month (s))
(9983,daily,15day (s))
(42758,monthly,6 year (s))
(3455,yearly,33 year (s))
(38554,yearly,4 year (s))
(27637,daily,1 month (s))
(23626,yearly,34 year (s))
(53712,daily,23day (s))
(11013,yearly,12 year (s))
(48037,monthly,6 year (s))
(41462,daily,1 month (s))
(4463,monthly,3 year (s))
(12551,one-off)
(32912,one-off)
(29289,one-off)
(5571,monthly,2 year (s))
(10793,one-off)
(35380,one-off)
(49613,daily,26day (s))
(29803,daily,1 month (s))
(16234,daily,22day (s))
(56471,monthly,6 year (s))
(54166,monthly,2 year (s))
(3656,monthly,3 year (s))
(56526,yearly,13 year (s))
(42103,monthly,5 year (s))
(40507,yearly,35 year (s))
(27384,daily,0 month (s))
(50176,daily,3day (s))
(7517,daily,1 month (s))
(16679,monthly,1 year (s))
(39666,one-off)
(25379,daily,23day (s))
(52250,monthly,4 year (s))
(8314,one-off)
(13660,daily,1 month (s))
(31425,yearly,33 year (s))
(33708,yearly,31 year (s))
(12758,monthly,5 month (s))
(37173,yearly,24 year (s))
(4804,yearly,38 year (s))
(17398,daily,13day (s))
(31687,yearly,12 year (s))
(39823,one-off)
(37155,one-off)
(10178,one-off)
(4073,monthly,2 year (s))
(18000,one-off)
(36997,yearly,12 year (s))
(13057,one-off)
(24999,monthly,6 year (s))
(38333,monthly,4 year (s))
(31628,one-off)
(40077,monthly,7 year (s))
(32190,yearly,19 year (s))
(6329,monthly,3 year (s))
(42192,daily,7day (s))
(18431,yearly,8 year (s))
(57338,daily,1 month (s))
(32578,daily,1 month (s))
(42227,monthly,2 year (s))
(43127,yearly,27 year (s))
(43456,daily,18day (s))
(12946,yearly,11 year (s))
(49810,yearly,24 year (s))
(33184,one-off)
(26459,monthly,2 year (s))
(28901,one-off)
(50482,yearly,4 year (s))
(48575,daily,23day (s))
(52841,one-off)
(17125,yearly,12 year (s))
(36805,monthly,3 year (s))
(46936,daily,1 month (s))
(55941,monthly,2 year (s))
(4263,monthly,1 year (s))
(56561,yearly,19 year (s))
(25945,one-off)
(28058,yearly,22 year (s))
(13692,monthly,7 year (s))
(26857,one-off)
(30023,yearly,1 year (s))
(17597,monthly,1 year (s))
(24243,monthly,4 year (s))
(16066,daily,5day (s))
(23502,daily,1 month (s))
(29076,one-off)
(15450,yearly,33 year (s))
(9060,monthly,5 year (s))
(16844,one-off)
(23236,daily,1 month (s))
(15167,monthly,3 year (s))
(46324,daily,1 month (s))
(50789,one-off)
(39948,one-off)
(4081,one-off)
(32149,one-off)
(22997,daily,1 month (s))
(30997,one-off)
(43833,yearly,20 year (s))
(12387,daily,1 month (s))
(9802,yearly,21 year (s))
(42653,daily,1 month (s))
(22861,one-off)
(38794,yearly,21 year (s))
(22161,monthly,5 year (s))
(3985,daily,1 month (s))
(56394,monthly,0 year (s))
(56175,monthly,4 year (s))
(21590,daily,0 month (s))
(27225,yearly,28 year (s))
(27151,monthly,4 year (s))
(41573,daily,1 month (s))
(53519,one-off)
(40951,monthly,0 year (s))
(3777,monthly,4 year (s))
(7893,yearly,29 year (s))
(42516,one-off)
(29303,monthly,4 year (s))
(18292,yearly,11 year (s))
(28798,monthly,3 year (s))
(34432,monthly,3 year (s))
(39927,one-off)
(21443,monthly,7 year (s))
(19103,daily,1 month (s))
(43095,monthly,1 year (s))
(54404,daily,1 month (s))
(29418,daily,1 month (s))
(17261,daily,19day (s))
(40180,yearly,9 year (s))
(15564,yearly,4 year (s))
(31595,daily,1 month (s))
(14425,daily,22day (s))
(54698,daily,1 month (s))
(42046,yearly,11 year (s))
(41940,yearly,30 year (s))
(50800,daily,6day (s))
(20956,yearly,13 year (s))
(13384,monthly,1 year (s))
(37351,daily,1 month (s))
(28482,yearly,6 year (s))
(14800,daily,18day (s))
(57931,monthly,5 year (s))
(17032,monthly,6 year (s))
(35877,one-off)
(13971,daily,1 month (s))
(38077,yearly,17 year (s))
(37927,one-off)
(19106,yearly,9 year (s))
(8617,monthly,2 year (s))
(39082,monthly,2 year (s))
(18607,monthly,5 year (s))
(45054,monthly,1 year (s))
(44030,yearly,38 year (s))
(24400,yearly,21 year (s))
(3601,yearly,3 year (s))
(35556,yearly,3 year (s))
(43927,yearly,7 year (s))
(31807,monthly,1 year (s))
(3907,monthly,2 year (s))
(47038,daily,1 month (s))
(28963,yearly,27 year (s))
(52449,daily,22day (s))
(22524,yearly,13 year (s))
(56365,monthly,6 year (s))
(42965,yearly,28 year (s))
(4102,daily,1 month (s))
(10269,yearly,7 year (s))
(41607,yearly,30 year (s))
(19317,yearly,32 year (s))
(15125,yearly,7 year (s))
(36151,daily,16day (s))
(49424,daily,5day (s))
(24410,daily,1 month (s))
(3825,monthly,4 year (s))
(15347,yearly,2 year (s))
(40245,monthly,5 year (s))
(24789,monthly,0 year (s))
(54406,daily,1 month (s))
(55156,daily,1 month (s))
(7901,monthly,1 year (s))
(57906,daily,1 month (s))
(34829,daily,1 month (s))
(14335,monthly,5 year (s))
(7420,monthly,0 year (s))
(4322,daily,25day (s))
(54486,yearly,4 year (s))
(39319,monthly,2 year (s))
(56338,monthly,3 year (s))
(18731,one-off)
(58359,yearly,5 year (s))
(27978,yearly,3 year (s))
(12175,monthly,3 year (s))
(12206,yearly,3 year (s))
(5422,monthly,6 year (s))
(29578,monthly,6 year (s))
(55190,one-off)
(8204,monthly,2 year (s))
(13850,yearly,39 year (s))
(38148,daily,0 month (s))
(43990,yearly,8 year (s))
(37510,daily,5day (s))
(18129,monthly,2 year (s))
(26392,daily,1 month (s))
(17391,daily,1 month (s))
(24383,monthly,4 year (s))
(34034,yearly,2 year (s))
(3618,yearly,1 year (s))
(54556,monthly,4 year (s))
(43919,yearly,23 year (s))
(25423,monthly,2 year (s))
(14514,monthly,3 year (s))
(14512,one-off)
(47950,daily,23day (s))
(55486,yearly,29 year (s))
(28881,monthly,6 year (s))
(43784,daily,17day (s))
(4306,monthly,4 year (s))
(13560,monthly,4 year (s))
(41179,daily,1 month (s))
(5161,yearly,28 year (s))
(31215,yearly,27 year (s))
(52070,daily,1 month (s))
(26279,daily,1 month (s))
(55303,monthly,3 year (s))
(26719,monthly,5 year (s))
(54987,yearly,32 year (s))
(26009,monthly,3 year (s))
(52662,monthly,7 year (s))
(54768,monthly,3 month (s))
(36453,yearly,3 year (s))
(26938,daily,23day (s))
(22803,yearly,18 year (s))
(41116,one-off)
(37634,one-off)
(44644,monthly,4 year (s))
(27677,yearly,39 year (s))
(21305,yearly,5 year (s))
(20059,monthly,4 year (s))
(46821,daily,15day (s))
(16045,monthly,4 year (s))
(21921,yearly,1 year (s))
(24744,monthly,3 year (s))
(38708,yearly,6 year (s))
(11664,yearly,5 year (s))
(46733,monthly,3 year (s))
(26821,yearly,13 year (s))
(16788,one-off)
(30073,one-off)
(15642,yearly,3 year (s))
(8704,daily,10day (s))
(47848,yearly,6 year (s))
(8620,monthly,1 year (s))
(20374,monthly,4 year (s))
(33325,yearly,5 year (s))
(49649,one-off)
(44289,daily,1 month (s))
(8859,daily,1 month (s))
(25629,one-off)
(54569,yearly,4 year (s))
(32846,one-off)
(31780,monthly,2 month (s))
(24918,monthly,5 year (s))
(12866,monthly,1 year (s))
(35290,yearly,27 year (s))
(16038,yearly,3 year (s))
(29315,yearly,5 year (s))
(11274,daily,26day (s))
(52291,yearly,5 year (s))
(38583,daily,1 month (s))
(38750,one-off)
(35428,daily,1 month (s))
(20026,yearly,14 year (s))
(21779,one-off)
(43027,monthly,6 year (s))
(22039,one-off)
(36907,one-off)
(56213,one-off)
(51825,one-off)
(21675,yearly,23 year (s))
(52929,yearly,11 year (s))
(42590,yearly,2 year (s))
(23304,monthly,1 year (s))
(41906,yearly,10 year (s))
(11032,daily,1 month (s))
(36332,one-off)
(40385,one-off)
(35464,yearly,23 year (s))
(51479,one-off)
(51675,daily,1 month (s))
(6215,monthly,3 year (s))
(16414,one-off)
(18415,daily,1 month (s))
(39601,yearly,3 year (s))
(30467,monthly,9 month (s))
(21893,yearly,11 year (s))
(41147,one-off)
(30064,yearly,10 year (s))
(40200,daily,1 month (s))
(28996,daily,7day (s))
(14611,yearly,11 year (s))
(11662,daily,1 month (s))
(10022,yearly,38 year (s))
(49016,one-off)
(54693,monthly,1 year (s))
(47370,monthly,8 month (s))
(16276,monthly,2 year (s))
(32331,daily,5day (s))
(17717,daily,1 month (s))
(19800,daily,1 month (s))
(11607,daily,22day (s))
(16594,one-off)
(8182,yearly,11 year (s))
(34409,daily,1 month (s))
(9828,monthly,6 year (s))
(49195,one-off)
(42533,monthly,4 year (s))
(34316,one-off)
(12548,monthly,6 year (s))
(20897,one-off)
(28647,yearly,3 year (s))
(48981,one-off)
(29561,one-off)
(7974,yearly,22 year (s))
(18902,one-off)
(16881,one-off)
(10931,yearly,19 year (s))
(48729,monthly,1 year (s))
(6112,daily,1 month (s))
(3299,monthly,4 year (s))
(17506,daily,23day (s))
(4604,yearly,5 year (s))
(34421,yearly,11 year (s))
(16806,yearly,9 year (s))
(56238,yearly,20 year (s))
(43463,one-off)
(6599,monthly,4 year (s))
(35481,daily,0 month (s))
(58086,daily,22day (s))
(41208,daily,10day (s))
(56704,monthly,5 month (s))
(7765,daily,4day (s))
(12659,daily,4day (s))
(14281,yearly,9 year (s))
(4078,daily,1 month (s))
(18464,daily,5day (s))
(47228,daily,1 month (s))
(44257,one-off)
(51538,yearly,7 year (s))
(47285,one-off)
(18183,daily,1 month (s))
(57563,daily,1 month (s))
(36906,monthly,3 year (s))
(26492,yearly,9 year (s))
(42407,monthly,6 year (s))
(33521,monthly,5 year (s))
(37092,daily,26day (s))
(32767,one-off)
(26300,monthly,4 year (s))
(32605,yearly,4 year (s))
(14917,one-off)
(42628,one-off)
(36596,one-off)
(57941,one-off)
(16199,yearly,19 year (s))
(12468,monthly,2 year (s))
(53056,one-off)
(58010,yearly,8 year (s))
(38588,yearly,19 year (s))
(57712,yearly,25 year (s))
(23127,yearly,5 year (s))
(23697,daily,1 month (s))
(18969,yearly,35 year (s))
(22416,monthly,6 year (s))
(26135,monthly,1 year (s))
(50774,monthly,1 year (s))
(6308,daily,1 month (s))
(32568,monthly,1 year (s))
(52108,one-off)
(33823,one-off)
(47019,yearly,39 year (s))
(54823,monthly,4 year (s))
(26326,yearly,11 year (s))
(56399,daily,26day (s))
(25908,monthly,1 year (s))
(22046,yearly,20 year (s))
(19759,one-off)
(16764,daily,1 month (s))
(7431,yearly,26 year (s))
(16381,monthly,2 year (s))
(8726,yearly,6 year (s))
(28049,monthly,5 year (s))
(15814,daily,12day (s))
(33347,yearly,16 year (s))
(28316,yearly,18 year (s))
(22743,yearly,25 year (s))
(37744,one-off)
(20940,yearly,16 year (s))
(10184,one-off)
(31561,monthly,2 year (s))
(35579,daily,0 month (s))
(42079,one-off)
(40337,monthly,4 year (s))
(25939,yearly,4 year (s))
(27427,monthly,4 year (s))
(27493,one-off)
(28521,one-off)
(18229,one-off)
(24238,monthly,6 year (s))
(16735,daily,0 month (s))
(42465,daily,26day (s))
(6910,yearly,22 year (s))
(8004,monthly,3 month (s))
(55332,monthly,3 year (s))
(39891,monthly,9 month (s))
(52212,one-off)
(35134,daily,1 month (s))
(45953,daily,1 month (s))
(24517,yearly,42 year (s))
(14067,monthly,7 year (s))
(24970,monthly,5 year (s))
(22794,monthly,3 month (s))
(43484,one-off)
(22581,daily,26day (s))
(48323,one-off)
(5259,yearly,30 year (s))
(16773,one-off)
(14953,yearly,40 year (s))
(36369,daily,1 month (s))
(10503,yearly,31 year (s))
(53825,daily,1 month (s))
(7963,yearly,16 year (s))
(12880,yearly,9 year (s))
(42074,one-off)
(38473,daily,26day (s))
(38307,yearly,12 year (s))
(17661,yearly,6 year (s))
(57903,monthly,1 year (s))
(7181,one-off)
(5673,monthly,5 year (s))
(6982,daily,14day (s))
(14068,one-off)
(54986,yearly,13 year (s))
(45398,monthly,3 year (s))
(37951,yearly,6 year (s))
(41445,yearly,14 year (s))
(19201,yearly,15 year (s))
(46527,monthly,4 year (s))
(58287,daily,25day (s))
(42137,daily,15day (s))
(57833,one-off)
(42687,monthly,6 month (s))
(23534,one-off)
(10484,monthly,2 year (s))
(29604,yearly,15 year (s))
(22494,monthly,3 year (s))
(10972,yearly,21 year (s))
(10774,yearly,5 year (s))
(33811,monthly,4 year (s))
(8592,daily,1 month (s))
(41281,monthly,5 year (s))
(51765,daily,22day (s))
(7832,yearly,41 year (s))
(22020,monthly,3 year (s))
(42558,daily,1 month (s))
(56163,monthly,6 year (s))
(34087,one-off)
(56519,one-off)
(43325,yearly,15 year (s))
(16828,yearly,26 year (s))
(8653,yearly,28 year (s))
(45063,monthly,4 year (s))
(3491,monthly,1 year (s))
(7522,yearly,25 year (s))
(57032,monthly,6 year (s))
(41083,yearly,3 year (s))
(53200,one-off)
(35429,yearly,26 year (s))
(7304,yearly,32 year (s))
(27866,daily,1 month (s))
(8309,yearly,26 year (s))
(5871,one-off)
(42207,monthly,5 year (s))
(35618,yearly,15 year (s))
(33785,yearly,14 year (s))
(28142,monthly,5 year (s))
(29906,monthly,1 year (s))
(54251,yearly,26 year (s))
(21210,yearly,23 year (s))
(49880,yearly,2 year (s))
(37748,monthly,5 year (s))
(48232,yearly,26 year (s))
(12064,monthly,4 year (s))
(21299,yearly,11 year (s))
(56516,monthly,5 year (s))
(6850,daily,24day (s))
(21421,monthly,6 year (s))
(29796,daily,21day (s))
(43442,yearly,37 year (s))
(23571,one-off)
(14316,monthly,3 year (s))
(8632,yearly,28 year (s))
(19152,yearly,23 year (s))
(20271,one-off)
(28150,monthly,6 year (s))
(13621,daily,1 month (s))
(27837,daily,1 month (s))
(55937,yearly,3 year (s))
(34505,yearly,5 year (s))
(23005,monthly,4 year (s))
(15201,one-off)
(40563,yearly,6 year (s))
(15871,yearly,6 year (s))
(31603,one-off)
(37836,yearly,11 year (s))
(22520,yearly,22 year (s))
(16473,monthly,9 month (s))
(56699,one-off)
(57496,daily,1 month (s))
(36143,daily,1 month (s))
(45418,monthly,7 year (s))
(22696,yearly,30 year (s))
(7757,daily,7day (s))
(33061,monthly,3 year (s))
(44324,yearly,29 year (s))
(39565,daily,3day (s))
(9029,daily,1 month (s))
(13544,yearly,5 year (s))
(53085,daily,23day (s))
(46284,monthly,4 year (s))
(32336,daily,1 month (s))
(55543,monthly,5 year (s))
(31317,yearly,6 year (s))
(3647,yearly,5 year (s))
(53069,daily,1 month (s))
(49738,daily,12day (s))
(15107,monthly,2 year (s))
(32549,daily,1 month (s))
(34349,monthly,3 year (s))
(12415,yearly,22 year (s))
(10811,yearly,10 year (s))
(3303,daily,1 month (s))
(26322,monthly,6 year (s))
(13365,daily,1 month (s))
(55270,monthly,6 year (s))
(10766,yearly,22 year (s))
(15332,daily,10day (s))
(21226,monthly,6 year (s))
(5247,monthly,4 year (s))
(15782,monthly,5 year (s))
(51136,yearly,12 year (s))
(40566,one-off)
(12824,yearly,7 year (s))
(42744,daily,6day (s))
(24930,one-off)
(42316,yearly,16 year (s))
(19360,yearly,36 year (s))
(34701,one-off)
(18027,one-off)
(49679,monthly,1 year (s))
(44496,yearly,17 year (s))
(32282,one-off)
(14212,daily,1 month (s))
(34026,yearly,14 year (s))
(57862,daily,1 month (s))
(20108,monthly,6 year (s))
(15902,one-off)
(6649,yearly,3 year (s))
(51669,one-off)
(20131,yearly,5 year (s))
(15627,daily,1 month (s))
(37195,yearly,9 year (s))
(12755,monthly,3 year (s))
(4212,yearly,26 year (s))
(45997,monthly,6 year (s))
(46094,yearly,16 year (s))
(53930,monthly,1 year (s))
(54899,one-off)
(32852,one-off)
(18242,monthly,1 year (s))
(21435,monthly,9 month (s))
(8657,daily,16day (s))
(26176,monthly,5 year (s))
(30706,yearly,1 year (s))
(22809,yearly,38 year (s))
(5770,one-off)
(9649,yearly,12 year (s))
(16304,monthly,1 year (s))
(11913,yearly,25 year (s))
(34528,monthly,3 year (s))
(10390,daily,7day (s))
(40209,monthly,2 year (s))
(25740,daily,1 month (s))
(39313,daily,12day (s))
(48969,daily,1 month (s))
(24147,monthly,2 year (s))
(50631,daily,19day (s))
(31652,daily,1 month (s))
(10159,monthly,3 year (s))
(16834,yearly,4 year (s))
(52322,monthly,5 year (s))
(22007,daily,1 month (s))
(26348,yearly,29 year (s))
(32942,yearly,1 year (s))
(34845,monthly,4 year (s))
(5215,one-off)
(41001,yearly,18 year (s))
(43001,yearly,11 year (s))
(26044,yearly,4 year (s))
(40170,monthly,3 year (s))
(9034,monthly,4 year (s))
(44403,one-off)
(3809,one-off)
(11177,yearly,6 year (s))
(50401,yearly,6 year (s))
(6806,yearly,1 year (s))
(18574,monthly,2 year (s))
(30860,monthly,5 year (s))
(54452,yearly,7 year (s))
(52858,one-off)
(44641,yearly,20 year (s))
(57694,yearly,23 year (s))
(30419,daily,13day (s))
(44112,daily,1 month (s))
(58169,yearly,10 year (s))
(29438,monthly,7 year (s))
(35923,monthly,8 month (s))
(22991,yearly,31 year (s))
(45162,one-off)
(24287,yearly,6 year (s))
(14094,yearly,12 year (s))
(16432,daily,1 month (s))
(55081,monthly,1 year (s))
(47339,yearly,20 year (s))
(47252,yearly,48 year (s))
(24401,yearly,6 year (s))
(25208,daily,1 month (s))
(45036,monthly,6 month (s))
(23368,yearly,40 year (s))
(16617,one-off)
(27616,yearly,7 year (s))
(47460,yearly,23 year (s))
(33905,yearly,40 year (s))
(52968,one-off)
(19480,yearly,30 year (s))
(48597,monthly,6 year (s))
(51023,monthly,1 year (s))
(24964,monthly,3 year (s))
(45214,yearly,33 year (s))
(53706,monthly,5 year (s))
(47569,monthly,3 year (s))
(46101,daily,26day (s))
(14361,yearly,13 year (s))
(25570,daily,1 month (s))
(33409,yearly,8 year (s))
(8799,daily,5day (s))
(40222,yearly,6 year (s))
(34967,yearly,44 year (s))
(39849,one-off)
(49957,monthly,7 month (s))
(42742,yearly,7 year (s))
(9447,yearly,22 year (s))
(54207,monthly,7 year (s))
(44429,yearly,6 year (s))
(32321,daily,1 month (s))
(31631,daily,1 month (s))
(6961,yearly,5 year (s))
(4511,daily,10day (s))
(40469,one-off)
(39467,yearly,22 year (s))
(19300,one-off)
(29405,monthly,6 year (s))
(10195,monthly,2 year (s))
(35438,yearly,16 year (s))
(15509,one-off)
(27816,monthly,5 year (s))
(25150,daily,25day (s))
(15211,monthly,5 year (s))
(48851,yearly,44 year (s))
(47002,yearly,35 year (s))
(57435,yearly,19 year (s))
(34546,one-off)
(44169,one-off)
(46602,monthly,9 month (s))
(35562,yearly,15 year (s))
(52321,monthly,1 year (s))
(29257,yearly,3 year (s))
(10698,yearly,6 year (s))
(23455,monthly,6 year (s))
(17685,monthly,1 year (s))
(36350,yearly,6 year (s))
(16004,daily,1 month (s))
(55642,yearly,22 year (s))
(19920,daily,26day (s))
(21081,yearly,36 year (s))
(36280,monthly,5 year (s))
(53371,monthly,7 year (s))
(9397,yearly,24 year (s))
(53714,yearly,25 year (s))
(4908,yearly,8 year (s))
(17981,monthly,1 year (s))
(26287,daily,1 month (s))
(22996,yearly,4 year (s))
(48637,monthly,1 year (s))
(49308,monthly,7 year (s))
(27904,one-off)
(23876,daily,19day (s))
(30333,daily,5day (s))
(27206,daily,1 month (s))
(21310,one-off)
(28137,monthly,6 month (s))
(47289,monthly,3 year (s))
(41967,daily,26day (s))
(24330,monthly,3 year (s))
(27691,yearly,4 year (s))
(49348,yearly,5 year (s))
(44415,yearly,2 year (s))
(34241,daily,18day (s))
(32477,yearly,16 year (s))
(34036,yearly,3 year (s))
(26803,one-off)
(14771,daily,9day (s))
(39519,daily,1 month (s))
(15890,monthly,4 year (s))
(30289,yearly,17 year (s))
(55095,monthly,1 year (s))
(5166,yearly,17 year (s))
(16277,yearly,27 year (s))
(12263,yearly,34 year (s))
(8661,daily,3day (s))
(31375,one-off)
(58302,daily,18day (s))
(46740,monthly,2 year (s))
(20150,monthly,5 year (s))
(40202,yearly,15 year (s))
(27728,yearly,4 year (s))
(55539,one-off)
(18846,yearly,16 year (s))
(8852,monthly,5 year (s))
(30903,monthly,4 year (s))
(16105,yearly,29 year (s))
(17254,yearly,11 year (s))
(50429,monthly,4 year (s))
(47634,yearly,16 year (s))
(23334,monthly,3 year (s))
(13895,monthly,7 year (s))
(56611,one-off)
(18887,one-off)
(37064,monthly,6 year (s))
(29288,one-off)
(32708,one-off)
(14641,yearly,18 year (s))
(40745,one-off)
(15408,monthly,1 year (s))
(41974,daily,0 month (s))
(28190,monthly,5 year (s))
(3192,monthly,5 year (s))
(7645,one-off)
(52701,yearly,9 year (s))
(22908,monthly,6 year (s))
(15329,yearly,19 year (s))
(39206,yearly,31 year (s))
(31938,yearly,14 year (s))
(40101,monthly,3 year (s))
(35143,daily,23day (s))
(9022,yearly,9 year (s))
(53081,daily,14day (s))
(43803,daily,9day (s))
